/Vin (frequency=10055.56) X,/Vin (frequency=10055.56) Y,/Vin (frequency=11000) X,/Vin (frequency=11000) Y,/Vin (frequency=9111.111) X,/Vin (frequency=9111.111) Y,/Vin (frequency=8166.667) X,/Vin (frequency=8166.667) Y,/Vin (frequency=7222.222) X,/Vin (frequency=7222.222) Y,/Vin (frequency=6277.778) X,/Vin (frequency=6277.778) Y,/Vin (frequency=5333.333) X,/Vin (frequency=5333.333) Y,/Vin (frequency=4388.889) X,/Vin (frequency=4388.889) Y,/Vin (frequency=3444.444) X,/Vin (frequency=3444.444) Y,/Vin (frequency=2500) X,/Vin (frequency=2500) Y
9.503056160274919e-06,1.695197296712899,9.503056160274919e-06,1.698845725992358,9.503056160274919e-06,1.691405174130792,9.503056160274919e-06,1.687481414334732,9.503056160274919e-06,1.683438491920433,9.503056160274919e-06,1.679289260330829,9.503056160274919e-06,1.675046910991821,9.503056160274919e-06,1.670724931373498,9.503056160272046e-06,1.666337062110153,9.503056160272046e-06,1.66189725331545
1.128217962356388e-05,1.702315717581366,1.128217962356388e-05,1.706247269455346,1.128217962356388e-05,1.698149759800975,1.128217962356388e-05,1.693768062112744,1.128217962356388e-05,1.689190257159895,1.128217962356388e-05,1.684436856264244,1.128217962356388e-05,1.679529157523132,1.128217962356388e-05,1.674489150381127,1.128217962355889e-05,1.669339417104068,1.128217962355889e-05,1.664103031596957
1.342664155523542e-05,1.710010570106926,1.342664155523542e-05,1.714030411837323,1.342664155523542e-05,1.705609973606972,1.342664155523542e-05,1.700856543220455,1.342664155523542e-05,1.695780438489072,1.342664155523542e-05,1.690413866257113,1.342664155523542e-05,1.684790876325636,1.342664155523542e-05,1.678947145413455,1.342664155522901e-05,1.672919750795661,1.342664155522901e-05,1.666746935055952
1.6014120566495e-05,1.717819209662898,1.6014120566495e-05,1.721538850629166,1.6014120566495e-05,1.713487578272314,1.6014120566495e-05,1.708583044452482,1.6014120566495e-05,1.703149865984468,1.6014120566495e-05,1.697237071059734,1.6014120566495e-05,1.690898015857049,1.6014120566495e-05,1.684189903064304,1.601412056648646e-05,1.677173265689976,1.601412056648646e-05,1.669911420822356
1.913898540183242e-05,1.724822895503913,1.903269295475404e-05,1.727401555769018,1.913898540183242e-05,1.721133820033543,1.913898540183242e-05,1.716528187203587,1.913898540183242e-05,1.711065340469296,1.913898540183242e-05,1.704815668464038,1.913898540183242e-05,1.697859698043658,1.913898540183242e-05,1.690287056700098,1.913898540182167e-05,1.682195317713555,1.913898540182167e-05,1.673688742923465
2.248984948067569e-05,1.729097939030866,2.210703155503749e-05,1.729921204027532,2.279301666701993e-05,1.727181781299159,2.291592892793143e-05,1.723837154502514,2.291592892793143e-05,1.718983216099522,2.291592892793143e-05,1.712855594016974,2.291592892793143e-05,1.705567426677261,2.291592892793143e-05,1.697253280433177,2.291592892791914e-05,1.688066664978499,2.291592892791914e-05,1.678177198994981
2.583782478959496e-05,1.729841775051097,2.515704493331637e-05,1.728868625673275,2.651385405832398e-05,1.729881468730142,2.691592892793143e-05,1.728559008681042,2.691592892793143e-05,1.725160461253279,2.691592892793143e-05,1.719848551258068,2.691592892793143e-05,1.712758504179353,2.691592892793143e-05,1.704070811600817,2.691592892791914e-05,1.694006636425117,2.691592892791914e-05,1.68282218272199
2.917773380824312e-05,1.727037470345526,2.821439114802886e-05,1.724309340219513,3.020185191179995e-05,1.728994304737892,3.091592892793143e-05,1.729982868620566,3.091592892793143e-05,1.728868036115793,3.091592892793143e-05,1.725106168133066,3.091592892793143e-05,1.718823523655163,3.091592892793143e-05,1.71023096608946,3.091592892791914e-05,1.699616886092572,3.091592892791914e-05,1.687337522360226
3.253047808497177e-05,1.720785385282959,3.129492978376632e-05,1.716372998748875,3.389580456332446e-05,1.72458930118774,3.491592892793144e-05,1.728049040307847,3.491592892793144e-05,1.729984181416055,3.491592892793144e-05,1.728497876960625,3.491592892793144e-05,1.723653705885482,3.491592892793144e-05,1.715658885009516,3.491592892791914e-05,1.704855405010542,3.116592892791914e-05,1.687615016822863
3.592729304373079e-05,1.71122594715925,3.444088027413146e-05,1.705178131650382,3.761446429097896e-05,1.716799159659252,3.891592892793144e-05,1.722838785792371,3.891592892793144e-05,1.728472286536263,3.891592892793144e-05,1.729939465942508,3.891592892793144e-05,1.727162427200191,3.891592892793144e-05,1.720288611352238,3.891592892791915e-05,1.709682969222707,3.129092892791914e-05,1.687753546639014
