/Vpeak (pulse_width=1e-05) X,/Vpeak (pulse_width=1e-05) Y,/Vpeak (pulse_width=1.166667e-05) X,/Vpeak (pulse_width=1.166667e-05) Y,/Vpeak (pulse_width=1.5e-05) X,/Vpeak (pulse_width=1.5e-05) Y,/Vpeak (pulse_width=1.333333e-05) X,/Vpeak (pulse_width=1.333333e-05) Y,/Vpeak (pulse_width=1.666667e-05) X,/Vpeak (pulse_width=1.666667e-05) Y,/Vpeak (pulse_width=1.833333e-05) X,/Vpeak (pulse_width=1.833333e-05) Y
1.827532476979594e-06,1.35383816056221,1.827532476979594e-06,1.35383816056221,1.827532476979594e-06,1.35383816056221,1.827532476979594e-06,1.35383816056221,1.827532476979594e-06,1.35383816056221,1.827532476979594e-06,1.35383816056221
1.963108332821533e-06,1.36665024277319,1.963108332821533e-06,1.36665024277319,1.963108332821533e-06,1.36665024277319,1.963108332821533e-06,1.36665024277319,1.963108332821533e-06,1.36665024277319,1.963108332821533e-06,1.36665024277319
2.096802694734057e-06,1.377903412436222,2.096802694734057e-06,1.377903412436222,2.096802694734057e-06,1.377903412436222,2.096802694734057e-06,1.377903412436222,2.096802694734057e-06,1.377903412436222,2.096802694734057e-06,1.377903412436222
2.260109916876656e-06,1.390179307670662,2.260109916876656e-06,1.390179307670662,2.260109916876656e-06,1.390179307670662,2.260109916876656e-06,1.390179307670662,2.260109916876656e-06,1.390179307670662,2.260109916876656e-06,1.390179307670662
2.445296688344307e-06,1.402533957773192,2.445296688344307e-06,1.402533957773192,2.445296688344307e-06,1.402533957773192,2.445296688344307e-06,1.402533957773192,2.445296688344307e-06,1.402533957773192,2.445296688344307e-06,1.402533957773192
2.655930774151551e-06,1.414974032326147,2.655930774151551e-06,1.414974032326147,2.655930774151551e-06,1.414974032326147,2.655930774151551e-06,1.414974032326147,2.655930774151551e-06,1.414974032326147,2.655930774151551e-06,1.414974032326147
2.902747889766161e-06,1.427827481761964,2.902747889766161e-06,1.427827481761964,2.902747889766161e-06,1.427827481761964,2.902747889766161e-06,1.427827481761964,2.902747889766161e-06,1.427827481761964,2.902747889766161e-06,1.427827481761964
3.193619654071932e-06,1.441108188083891,3.193619654071932e-06,1.441108188083891,3.193619654071932e-06,1.441108188083891,3.193619654071932e-06,1.441108188083891,3.193619654071932e-06,1.441108188083891,3.193619654071932e-06,1.441108188083891
3.5384074642978e-06,1.45482837723354,3.5384074642978e-06,1.45482837723354,3.5384074642978e-06,1.45482837723354,3.5384074642978e-06,1.45482837723354,3.5384074642978e-06,1.45482837723354,3.5384074642978e-06,1.45482837723354
3.951456701482623e-06,1.469062141091428,3.951456701482623e-06,1.469062141091428,3.951456701482623e-06,1.469062141091428,3.951456701482623e-06,1.469062141091428,3.951456701482623e-06,1.469062141091428,3.951456701482623e-06,1.469062141091428
4.451374804029132e-06,1.483875198705611,4.451374804029132e-06,1.483875198705611,4.451374804029132e-06,1.483875198705611,4.451374804029132e-06,1.483875198705611,4.451374804029132e-06,1.483875198705611,4.451374804029132e-06,1.483875198705611
5.062824969675761e-06,1.499333510531757,5.062824969675761e-06,1.499333510531757,5.062824969675761e-06,1.499333510531757,5.062824969675761e-06,1.499333510531757,5.062824969675761e-06,1.499333510531757,5.062824969675761e-06,1.499333510531757
5.819532410620947e-06,1.515517686627506,5.819532410620947e-06,1.515517686627506,5.819532410620947e-06,1.515517686627506,5.819532410620947e-06,1.515517686627506,5.819532410620947e-06,1.515517686627506,5.819532410620947e-06,1.515517686627506
